class,method,path_depth,file_extension,host_length,accept_count,accept_language,has_cache_control,has_cookie,user_agent_length,has_content,content_type,query_param_count,max_param_length,has_numeric_param
1,0,2,43,14,7,0,1,1,71,1,1,0,0,0
1,0,3,43,14,7,0,1,1,71,1,1,5,17,1
1,1,3,43,14,7,0,1,1,71,1,0,5,17,1
1,0,3,43,14,7,0,1,1,71,1,1,5,9,0
1,1,3,43,14,7,0,1,1,71,1,0,5,9,0
1,0,3,43,14,7,0,1,1,71,1,1,1,1,1
1,1,3,43,14,7,0,1,1,71,1,0,1,1,1
1,0,3,43,14,7,0,1,1,71,1,1,0,0,0
1,0,3,43,14,7,0,1,1,71,1,1,1,24,0
1,1,3,43,14,7,0,1,1,71,1,0,1,24,0
1,0,3,43,14,7,0,1,1,71,1,1,0,0,0
1,0,3,43,14,7,0,1,1,71,1,1,3,14,1
1,1,3,43,14,7,0,1,1,71,1,0,3,14,1
1,0,3,43,14,7,0,1,1,71,1,1,0,0,0
1,0,3,43,14,7,0,1,1,71,1,1,13,19,1
1,1,3,43,14,7,0,1,1,71,1,0,13,19,1
1,0,3,43,14,7,0,1,1,71,1,1,1,14,0
1,1,3,43,14,7,0,1,1,71,1,0,1,14,0
1,0,3,43,14,7,0,1,1,71,1,1,0,0,0
1,0,3,43,14,7,0,1,1,71,1,1,0,0,0
1,0,3,43,14,7,0,1,1,71,1,1,0,0,0
1,0,3,13,14,7,0,1,1,71,1,1,0,0,0
1,0,4,35,14,7,0,1,1,71,1,1,0,0,0
1,0,4,35,14,7,0,1,1,71,1,1,0,0,0
1,0,4,35,14,7,0,1,1,71,1,1,0,0,0
1,0,3,43,14,7,0,1,1,71,1,1,0,0,0
1,0,3,43,14,7,0,1,1,71,1,1,13,34,1
1,1,3,43,14,7,0,1,1,71,1,0,13,34,1
1,0,3,43,14,7,0,1,1,71,1,1,0,0,0
1,0,3,43,14,7,0,1,1,71,1,1,0,0,0
1,0,3,22,14,7,0,1,1,71,1,1,0,0,0
1,0,3,22,14,7,0,1,1,71,1,1,0,0,0
1,0,3,22,14,7,0,1,1,71,1,1,0,0,0
1,0,3,22,14,7,0,1,1,71,1,1,0,0,0
1,0,3,22,14,7,0,1,1,71,1,1,0,0,0
1,0,3,35,14,7,0,1,1,71,1,1,0,0,0
1,0,2,43,14,7,0,1,1,71,1,1,0,0,0
1,0,3,43,14,7,0,1,1,71,1,1,5,17,1
1,1,3,43,14,7,0,1,1,71,1,0,5,17,1
1,0,3,43,14,7,0,1,1,71,1,1,5,6,0
1,1,3,43,14,7,0,1,1,71,1,0,5,6,0
1,0,3,43,14,7,0,1,1,71,1,1,1,1,1
